,Year,Generated Paper and Paperboard,Generated Glass,Generated Metals - Ferrous,Generated Metals - Aluminum,Generated Metals - Other Nonferrous,Generated Metals - Total Metals,Generated Plastics,Generated Rubber and Leather,Generated Textiles,Generated Wood,Generated Other **,Generated Total Materials in Products,Generated Food^,Generated Yard Trimmings,Generated Miscellaneous Inorganic Wastes,Generated Total Other Wastes,Generated Total MSW Generated - Weight Â¥,Recycled Paper and Paperboard,Recycled Glass,Recycled Metals - Ferrous,Recycled Metals - Aluminum,Recycled Metals - Other Nonferrous,Recycled Total Metals,Recycled Plastics,Recycled Rubber and Leather,Recycled Textiles,Recycled Wood,Recycled Other **,Recycled Total MSW recycled,Composted Food^,Composted Yard Trimmings,Composted Miscellaneous Inorganic Wastes,Composted Total - composted,Combusted Paper and Paperboard,Combusted Glass,Combusted Metals - Ferrous,Combusted Metals - Aluminum,Combusted Metals - Other Nonferrous,Combusted Total Metals,Combusted Plastics,Combusted Rubber and Leather,Combusted Textiles,Combusted Wood,Combusted Other **,Combusted Total Materials in Products,Combusted Food,Combusted Yard Trimmings,Combusted Miscellaneous Inorganic Wastes,Combusted Total Other Wastes,Combusted Total MSW Combusted - Weight,Landfilled Paper and Paperboard,Landfilled Glass,Landfilled Metals - Ferrous,Landfilled Metals - Aluminum,Landfilled Metals - Other Nonferrous,Landfilled Total Metals,Landfilled Plastics,Landfilled Rubber and Leather,Landfilled Textiles,Landfilled Wood,Landfilled Other **,Landfilled Total Materials in Products,Landfilled Food,Landfilled Yard Trimmings,Landfilled Miscellaneous Inorganic,Landfilled Wastes,Landfilled Total Other Wastes
0,1960,"29,990","6,720","10,300",340,180,"10,820",390,"1,840","1,760","3,030",70,"54,620","12,200","20,000","1,300","33,500","88,120","5,080",100,50,0,0,50,0,330,50,0,0,"5,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,910","6,620","10,250",340,180,"10,770",390,"1,510","1,710","3,030",70,"49,010","12,200","20,000",0.0,"1,300","33,500"
1,1970,"44,310","12,740","12,360",800,670,"13,830","2,900","2,970","2,040","3,720",770,"83,280","12,800","23,200","1,780","37,780","121,060","6,770",160,150,10,320,480,0,250,60,0,300,"8,020",0,0,0,0,150.0,60.0,60.0,0.0,0.0,60.0,0.0,10.0,10.0,10.0,0.0,300.0,50.0,90.0,10.0,150.0,450.0,"37,390","12,520","12,150",790,350,"13,290","2,900","2,710","1,970","3,710",470,"74,960","12,750","23,110",0.0,"1,770","37,630"
2,1980,"55,160","15,130","12,620","1,730","1,160","15,510","6,830","4,200","2,530","7,010","2,520","108,890","13,000","27,500","2,250","42,750","151,640","11,740",750,370,310,540,"1,220",20,130,160,0,500,"14,520",0,0,0,0,860,300,250,30,20,300,140,70,50,150,30,"1,900",260,550,50,860,"2,760","42,560","14,080","12,000","1,390",600,"13,990","6,670","4,000","2,320","6,860","1,990","92,470","12,740","26,950",0.0,"2,200","41,890"
3,1990,"72,730","13,100","12,640","2,810","1,100","16,550","17,130","5,790","5,810","12,210","3,190","146,510","23,860","35,000","2,900","61,760","208,270","20,230","2,630","2,230","1,010",730,"3,970",370,370,660,130,680,"29,040",0,"4,200",0,"4,200","8,930","1,810","1,690",300,60,"2,050","2,980",830,880,"2,080",410,"19,970","4,060","5,240",490,"9,790","29,760","43,570","8,660","8,720","1,500",310,"10,530","13,780","4,590","4,270","10,000","2,100","97,500","19,800","25,560",0.0,"2,410","47,770"
4,2000,"87,740","12,770","14,150","3,190","1,600","18,940","25,550","6,670","9,480","13,570","4,000","178,720","30,700","30,530","3,500","64,730","243,450","37,560","2,880","4,680",860,"1,060","6,600","1,480",820,"1,320","1,370",980,"53,010",680,"15,770",0,"16,450","9,730","1,790","1,610",390,50,"2,050","4,120","1,970","1,880","2,290",540,"24,370","5,820","2,860",680,"9,360","33,730","40,450","8,100","7,860","1,940",490,"10,290","19,950","3,880","6,280","9,910","2,480","101,340","24,200","11,900",0.0,"2,820","38,920"
5,2005,"84,840","12,540","15,210","3,330","1,860","20,400","29,380","7,290","11,510","14,790","4,290","185,040","32,930","32,070","3,690","68,690","253,730","41,960","2,590","5,020",690,"1,280","6,990","1,780","1,050","1,830","1,830","1,210","59,240",690,"19,860",0,"20,550","7,800","1,660","1,640",410,50,"2,100","4,330","2,110","2,110","2,270",510,"22,890","5,870","2,220",670,"8,760","31,650","35,080","8,290","8,550","2,230",530,"11,310","23,270","4,130","7,570","10,690","2,570","102,910","26,370","9,990",0.0,"3,020","39,380"
6,2010,"71,310","11,520","16,920","3,510","2,020","22,450","31,400","7,750","13,220","15,710","4,710","178,070","35,740","33,400","3,840","72,980","251,050","44,570","3,130","5,800",680,"1,440","7,920","2,500","1,440","2,050","2,280","1,370","65,260",970,"19,200",0,"20,170","4,740","1,360","1,810",440,60,"2,310","4,530","1,910","2,270","2,310",540,"19,970","6,150","2,510",680,"9,340","29,310","22,000","7,030","9,310","2,390",520,"12,220","24,370","4,400","8,900","11,120","2,800","92,840","28,620","11,690",0.0,"3,160","43,470"
7,2015,"68,050","11,470","18,190","3,670","2,010","23,870","34,480","8,560","16,060","16,300","4,880","183,670","39,730","34,720","3,990","78,440","262,110","45,320","3,190","6,070",670,"1,290","8,030","3,120","1,550","2,460","2,660","1,230","67,560","2,100","21,290",0,"23,390","4,450","1,440","2,150",510,60,"2,720","5,330","2,520","3,060","2,570",670,"22,760","7,380","2,630",780,"10,790","33,550","18,280","6,840","9,970","2,490",660,"13,120","26,030","4,490","10,540","11,070","2,980","93,350","30,250","10,800",0.0,"3,210","44,260"
8,2017,"67,010","12,300","18,890","3,820","2,510","25,220","35,410","9,110","16,890","18,200","4,630","188,770","40,670","35,180","4,040","79,890","268,660","44,170","3,070","6,170",600,"1,710","8,480","3,000","1,670","2,570","3,030",990,"66,980","2,570","24,420",0,"26,990","4,490","1,650","2,290",550,70,"2,910","5,590","2,490","3,170","2,880",670,"23,850","7,470","2,110",790,"10,370","34,220","18,350","7,580","10,430","2,670",730,"13,830","26,820","4,950","11,150","12,290","2,970","97,940","30,630","8,650",0.0,"3,250","42,530"
9,2018,"67,390","12,250","19,200","3,890","2,510","25,600","35,680","9,160","17,030","18,090","4,560","189,760","63,130","35,400","4,070","102,600","292,360","45,970","3,060","6,360",670,"1,690","8,720","3,090","1,670","2,510","3,100",970,"69,090","2,590","22,300",0,"24,890","4,200","1,640","2,310",560,80,"2,950","5,620","2,500","3,220","2,840",660,"23,630","7,550","2,570",800,"10,920","34,550","17,220","7,550","10,530","2,660",740,"13,930","26,970","4,990","11,300","12,150","2,930","97,040","35,280","10,530",0.0,"3,270","49,080"
